id,Name,titleProject_id,class,score,login,password
0 , Сербин Геннадий Михаилович , 7 , 8в , 2 , Сербин_ГМ , O5iK56Aa
1 , Папандина Клавдия Яковлевна , 304 , 9в , 5 , Папандина_КЯ , dUFmnIz8
2 , Белагина Галина Андреевна , 396 , 9а , 4 , Белагина_ГА , jsmKAG3c
3 , Кижняева Анна Леонидовна , 178 , 7и , 2 , Кижняева_АЛ , L86vKG9O
4 , Цывин Олег Яковлевич , 446 , 7т , 2 , Цывин_ОЯ , A9RiOeoE
5 , Жидняева Ксения Эдуардовна , 373 , 7х , 4 , Жидняева_КЭ , ppvuZG7o
6 , Липковский Анатолий Иванович , 144 , 10а , 2 , Липковский_АИ , diL84YnW
7 , Меднова Наталья Богдановна , 290 , 7и , 5 , Меднова_НБ , hJ9VpVMf
8 , Житихин Вячеслав Романович , 141 , 9а , 5 , Житихин_ВР , JKAY8dxq
9 , Шеврина Полина Максимовна , 33 , 11а , 5 , Шеврина_ПМ , l7aDIdDU
10 , Алпеев Валентин Данилович , 323 , 8а , 2 , Алпеев_ВД , 65jmVwAN
11 , Золикова Клара Игоревна , 364 , 10х , 2 , Золикова_КИ , 6OVtXx6S
12 , Дориков Дмитрий Петрович , 296 , 10г , 5 , Дориков_ДП , mJXHPe0V
13 , Корабышев Кирилл Михаилович , 302 , 8и , 5 , Корабышев_КМ , JlJFliyi
14 , Ростовиков Константин Николаевич , 336 , 10а , 2 , Ростовиков_КН , i7BZ4U3S
15 , Нехаев Дмитрий Фёдорович , 129 , 7х , 4 , Нехаев_ДФ , 89bxz1AO
16 , Зызлова Мария Николаевна , 430 , 8г , 3 , Зызлова_МН , UUxdhaaP
17 , Королупов Валерий Тимофеевич , 397 , 10д , 5 , Королупов_ВТ , zoioFIj3
18 , Стенцов Евгений Яковлевич , 315 , 8и , 4 , Стенцов_ЕЯ , 7tO4TenW
19 , Феклисов Константин Виталиевич , 270 , 9т , None , Феклисов_КВ , 2AZXcy3S
20 , Синелев Руслан Тимофеевич , 300 , 8и , 2 , Синелев_РТ , hQUG0n6f
21 , Опевалова Вера Евгеньевна , 473 , 9д , 5 , Опевалова_ВЕ , kOym25UL
22 , Назерова Вероника Василевна , 206 , 7б , 5 , Назерова_ВВ , PVTiXytz
23 , Дименская Светлана Дмитриевна , 387 , 9д , 5 , Дименская_СД , kKSJeNZI
24 , Ковторева Раиса Василевна , 482 , 9и , 2 , Ковторева_РВ , gmtGfG6g
25 , Кулишнин Вячеслав Яковлевич , 386 , 11х , 5 , Кулишнин_ВЯ , GDAKc9Ma
26 , Лексин Кирилл Антонович , 139 , 7в , 5 , Лексин_КА , pzOI2dPv
27 , Лаковский Григорий Василиевич , 240 , 7д , 5 , Лаковский_ГВ , O8Vv0VFD
28 , Барамыкова Александра Алексеевна , 106 , 10а , 3 , Барамыкова_АА , yzxiO8cx
29 , Плясулина Оксана Андреевна , 346 , 8х , 2 , Плясулина_ОА , ZGJxrfTE
30 , Петрикеев Станислав Яковлевич , 14 , 7и , 4 , Петрикеев_СЯ , PJF23LHc
31 , Моторыгин Илья Георгиевич , 238 , 10и , 5 , Моторыгин_ИГ , 0WPlcIxu
32 , Рыков Тарас Павлович , 174 , 10и , 5 , Рыков_ТП , nz3ZOxzh
33 , Иончикова Елизавета Егоровна , 169 , 8д , 5 , Иончикова_ЕЕ , BxxKEvqS
34 , Смолькина Алиса Егоровна , 441 , 7г , 5 , Смолькина_АЕ , KMW1qwSe
35 , Оболенин Герасим Павлович , 472 , 7и , 4 , Оболенин_ГП , Lb9lFyAV
36 , Трощинский Георгий Борисович , 67 , 9д , 3 , Трощинский_ГБ , hFtsh23s
37 , Поддубская Лиза Игоревна , 496 , 10а , 4 , Поддубская_ЛИ , XBIeaYt0
38 , Телькова Валерия Олеговна , 335 , 7х , 4 , Телькова_ВО , I84tOVJ2
39 , Чигварина Александра Алексеевна , 428 , 10б , 2 , Чигварина_АА , IoeiG6lN
40 , Киреевский Артур Игоревич , 119 , 7в , 3 , Киреевский_АИ , 5OyV4hXu
41 , Шумейкин Роман Павлович , 420 , 8в , 5 , Шумейкин_РП , oztAxdoO
42 , Трушинов Максим Алексиевич , 82 , 8и , 4 , Трушинов_МА , 0n9HuUNK
43 , Голюков Денис Сергеевич , 62 , 11б , 4 , Голюков_ДС , yak7hMAg
44 , Хлиманкова Надежда Валерьевна , 461 , 10б , 3 , Хлиманкова_НВ , jvRC4V9e
45 , Кулаженков Алексей Олегович , 367 , 10в , 2 , Кулаженков_АО , ja7d6TIA
46 , Бутукин Владимир Адамович , 221 , 7х , 5 , Бутукин_ВА , YMfJG9OE
47 , Поддуев Леонид Олегович , 149 , 9х , 4 , Поддуев_ЛО , LnjNmjPd
48 , Ревцев Василий Павлович , 360 , 9х , 5 , Ревцев_ВП , sp0AqdCV
49 , Старокожев Артём Юрьевич , 46 , 8д , 3 , Старокожев_АЮ , uq3MNdRw
50 , Светошев Максим Михаилович , 321 , 10х , 2 , Светошев_ММ , F2NcCJUP
51 , Старынина Кристина Федоровна , 266 , 9д , 3 , Старынина_КФ , LxUhB0ze
52 , Востров Дмитрий Денисович , 282 , 9г , 3 , Востров_ДД , PZ0nUfki
53 , Бураханова Анастасия Леонидовна , 16 , 8г , 2 , Бураханова_АЛ , c3ye5XYG
54 , Понизов Виктор Кириллович , 214 , 11и , 5 , Понизов_ВК , ElbC6EFC
55 , Суздалев Валерий Алексеевич , 66 , 11т , 5 , Суздалев_ВА , jD4nfHtd
56 , Колендин Дмитрий Алексеевич , 153 , 10в , 4 , Колендин_ДА , YRuHAhtj
57 , Сулькова Екатерина Андреевна , 325 , 8и , 4 , Сулькова_ЕА , 1G5kH1YT
58 , Аржевитова Надежда Федоровна , 242 , 10в , 2 , Аржевитова_НФ , OcTl7UEj
59 , Крассов Валерий Олегович , 201 , 8х , 5 , Крассов_ВО , rwlXK9s4
60 , Сонураева Инна Андреевна , 450 , 9т , 3 , Сонураева_ИА , rbrYn8kG
61 , Пашин Роман Вадимович , 204 , 10д , 2 , Пашин_РВ , HGdA7chy
62 , Фичкина Евгения Федоровна , 29 , 11д , 3 , Фичкина_ЕФ , MkYPYDar
63 , Свилин Олег Виталиевич , 123 , 8в , 2 , Свилин_ОВ , O8mbXDW8
64 , Рогоцкий Андрей Адамович , 142 , 9в , 2 , Рогоцкий_АА , RsRFLFIG
65 , Ахантьев Игорь Валериевич , 80 , 10д , 5 , Ахантьев_ИВ , OVev3F2G
66 , Сочиникова Ксения Кирилловна , 100 , 10д , 2 , Сочиникова_КК , YbISRkaD
67 , Остюков Артур Романович , 329 , 11и , 3 , Остюков_АР , iY4lt5Vm
68 , Брюкина Оксана Викторовна , 98 , 8в , 5 , Брюкина_ОВ , ZTsT32NG
69 , Кузовенков Игорь Юрьевич , 322 , 9г , None , Кузовенков_ИЮ , uzlEfgj8
70 , Калухов Тарас Иванович , 207 , 11а , 3 , Калухов_ТИ , y4ycEJ0B
71 , Батыров Пётр Виталиевич , 227 , 7и , 3 , Батыров_ПВ , CNoCkCIl
72 , Озрина Катерина Валерьевна , 147 , 10а , 4 , Озрина_КВ , ZORT0Rcl
73 , Декалова Полина Леонидовна , 470 , 11д , 5 , Декалова_ПЛ , gwjcLt2q
74 , Лосицкий Владимир Кириллович , 369 , 9т , 5 , Лосицкий_ВК , p2uSZRWu
75 , Магнусов Пётр Максимович , 437 , 7и , 5 , Магнусов_ПМ , 0WZTFh7N
76 , Лавренков Михаил Василиевич , 188 , 9б , 2 , Лавренков_МВ , rU1bmdIL
77 , Шушкалова Вероника Алексеевна , 411 , 8т , 5 , Шушкалова_ВА , mwlF1cTC
78 , Бороданова Маргарита Дмитриевна , 118 , 7г , 5 , Бороданова_МД , nIcEprKq
79 , Циркина Виолетта Федоровна , 231 , 9г , 2 , Циркина_ВФ , YEO7Xa1l
80 , Болохина Екатерина Андреевна , 194 , 11д , 3 , Болохина_ЕА , 2m2dCYTA
81 , Чукалова Дарья Валерьевна , 20 , 10г , 4 , Чукалова_ДВ , FHRj2sVX
82 , Беловолов Степан Петрович , 222 , 9д , 2 , Беловолов_СП , pTX3VBrh
83 , Зудейкина Вероника Ивановна , 166 , 8и , 3 , Зудейкина_ВИ , z2erI673
84 , Макунова Мария Борисовна , 47 , 9в , 5 , Макунова_МБ , li0QDRbG
85 , Верзанский Геннадий Андреевич , 497 , 7д , 5 , Верзанский_ГА , ShqICJqi
86 , Алтубин Ярослав Леонидович , 414 , 10г , 5 , Алтубин_ЯЛ , Vfw2Yj4M
87 , Аузин Игорь Алексиевич , 435 , 8х , 5 , Аузин_ИА , JtT3Cr0E
88 , Калыгин Степан Тимофеевич , 353 , 8и , 2 , Калыгин_СТ , DSKb0Ejd
89 , Дурныгина Полина Игоревна , 72 , 8и , 2 , Дурныгина_ПИ , 7YXrd5sN
90 , Антюфеева Александра Вадимовна , 347 , 8и , 2 , Антюфеева_АВ , rw6J0IYe
91 , Лощинский Борис Романович , 210 , 10б , 3 , Лощинский_БР , 8TKLM8gU
92 , Ходорков Евгений Виталиевич , 344 , 9г , 5 , Ходорков_ЕВ , nIp4KUZ9
93 , Кафорин Федор Данилович , 427 , 10д , 3 , Кафорин_ФД , 9vUEWOzE
94 , Косынская Алиса Дмитриевна , 40 , 9в , 3 , Косынская_АД , TKBb64ot
95 , Беремцев Артём Антонович , 434 , 11т , 2 , Беремцев_АА , vQfqOHwH
96 , Влянская Мария Андреевна , 490 , 7т , 4 , Влянская_МА , cHR74pAU
97 , Мыгеева Лиза Василевна , 280 , 8в , 5 , Мыгеева_ЛВ , tkBVapzz
98 , Акутникова Мария Алексеевна , 173 , 11в , 2 , Акутникова_МА , MuPewtzo
99 , Карябкин Константин Максимович , 89 , 7и , 2 , Карябкин_КМ , 3cKQ6gRK
100 , Прилепина Яна Максимовна , 30 , 10в , 5 , Прилепина_ЯМ , Yh35ah9i
101 , Ведищев Никита Георгиевич , 365 , 7и , 5 , Ведищев_НГ , iz4mCM6Z
102 , Самчева Вероника Борисовна , 287 , 10г , 3 , Самчева_ВБ , Brh1l7ku
103 , Пирцхалова Карина Леонидовна , 452 , 10г , 5 , Пирцхалова_КЛ , odWYC9lk
104 , Павлочев Денис Борисович , 432 , 11д , 5 , Павлочев_ДБ , wC8P2x6o
105 , Арашкова Екатерина Евгеньевна , 356 , 8х , None , Арашкова_ЕЕ , 7MDxs2wM
106 , Байсарова Людмила Василевна , 215 , 11и , 2 , Байсарова_ЛВ , ZbPWT6xO
107 , Кудекина Зинаида Игоревна , 250 , 10и , 3 , Кудекина_ЗИ , JmxXiBUH
108 , Дерналов Виталий Викторович , 1 , 9г , 4 , Дерналов_ВВ , K9PnNrG4
109 , Сазинова Галина Романовна , 61 , 9и , 3 , Сазинова_ГР , noE3pZTe
110 , Остаченова Марина Эдуардовна , 229 , 9т , 5 , Остаченова_МЭ , m0YwbLAb
111 , Битюкова Яна Егоровна , 488 , 9и , 4 , Битюкова_ЯЕ , fVPoMORq
112 , Иваницкий Константин Борисович , 232 , 8д , 5 , Иваницкий_КБ , WPkyc8Q7
113 , Белянский Владислав Игоревич , 74 , 11б , 5 , Белянский_ВИ , ah53EHZB
114 , Баранкин Артём Алексеевич , 382 , 9т , 2 , Баранкин_АА , yHkhwe8i
115 , Шкабанова Софья Вадимовна , 499 , 9х , 4 , Шкабанова_СВ , txVXDNYj
116 , Полозлов Денис Адамович , 155 , 8т , 3 , Полозлов_ДА , UelFweXj
117 , Жунина Светлана Михайловна , 162 , 8в , 3 , Жунина_СМ , 6iRKix0l
118 , Пантыкин Борис Игоревич , 245 , 9х , 2 , Пантыкин_БИ , 9VWJCYxA
119 , Доутова Марина Богдановна , 189 , 11х , 2 , Доутова_МБ , 6j3Ej8e9
120 , Трещалова Яна Андреевна , 330 , 8б , 3 , Трещалова_ЯА , 5Ac1bUxS
121 , Ивашечкин Александр Данилович , 390 , 10т , 4 , Ивашечкин_АД , XQ6Fosp1
122 , Мазьянова Инна Богдановна , 416 , 11в , 4 , Мазьянова_ИБ , WbILLQuO
123 , Корогев Николай Евгеньевич , 184 , 8б , 5 , Корогев_НЕ , V82ImRoM
124 , Заидова Галина Максимовна , 88 , 9т , 4 , Заидова_ГМ , uCgbvfe9
125 , Рамхин Кирилл Алексиевич , 459 , 9х , 4 , Рамхин_КА , 6UDTsYMS
126 , Кизбабаев Эдуард Фёдорович , 415 , 11т , 2 , Кизбабаев_ЭФ , Wox64yRs
127 , Соурчаков Ярослав Валериевич , 268 , 8б , 2 , Соурчаков_ЯВ , Zsnnd26w
128 , Мотяшева Алена Михайловна , 404 , 7т , 2 , Мотяшева_АМ , jJ17o83U
129 , Горшкова Наталия Яковлевна , 340 , 11а , 2 , Горшкова_НЯ , OyBaksts
130 , Зябрицкий Игорь Виталиевич , 332 , 7а , 5 , Зябрицкий_ИВ , BF3V7ay8
131 , Шельдяев Игорь Юриевич , 97 , 7д , 5 , Шельдяев_ИЮ , p4mupwmg
132 , Шмелькин Максим Викторович , 483 , 9т , 5 , Шмелькин_МВ , JMsSdnc6
133 , Жалкин Алексей Алексеевич , 43 , 7а , 3 , Жалкин_АА , yGMLrori
134 , Худасов Денис Максимович , 70 , 10д , 2 , Худасов_ДМ , K0HmrQ9D
135 , Швичкова Наталья Эдуардовна , 398 , 7г , 4 , Швичкова_НЭ , inVxfeHi
136 , Едская Жанна Валерьевна , 436 , 11в , 4 , Едская_ЖВ , rPVXqybR
137 , Поморзина Полина Евгеньевна , 122 , 7д , 4 , Поморзина_ПЕ , WzISXgjH
138 , Будачева Кира Олеговна , 55 , 11х , 4 , Будачева_КО , oUYZxK05
139 , Молкаев Василий Валериевич , 216 , 8д , 2 , Молкаев_ВВ , rytP2nSc
140 , Яцынин Константин Тимофеевич , 285 , 7г , 2 , Яцынин_КТ , wRnDCtia
141 , Маховиков Василий Петрович , 391 , 7х , 4 , Маховиков_ВП , lcuusOqU
142 , Шаметова Евгения Вадимовна , 463 , 7а , 2 , Шаметова_ЕВ , 74Mgp8C6
